sku,name,customerReviewAverage,customerReviewCount,customerTopRated,manufacturer,class,condition
6550207,"Apple - Geek Squad Certified Refurbished MacBook Pro 14"" Laptop - M2 Pro chip - 16GB Memory - 512GB SSD - Space Gray",4.2,18.0,False,Apple,APPLE LAPTOP,Refurbished
6550210,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M2 chip - 8GB Memory - 256GB SSD - Space Gray",4.5,45.0,False,Apple,APPLE LAPTOP,Refurbished
6550211,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD - Space Gray",3.9,21.0,False,Apple,APPLE LAPTOP,Refurbished
6550212,"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 256GB SSD - Silver",4.6,217.0,True,Apple,APPLE LAPTOP,Refurbished
6550215,"Apple - Geek Squad Certified Refurbished MacBook Pro 14"" Laptop - M2 Pro chip - 16GB Memory - 1TB SSD - Space Gray",3.0,2.0,False,Apple,APPLE LAPTOP,Refurbished
6550216,"Apple - Geek Squad Certified Refurbished MacBook Pro 14"" Laptop - M2 Max chip - 32GB Memory - 1TB SSD - Space Gray",1.0,1.0,False,Apple,APPLE LAPTOP,Refurbished
6550217,"Apple - Geek Squad Certified Refurbished MacBook Pro 14"" Laptop - M2 Pro chip - 16GB Memory - 512GB SSD - Silver",4.2,18.0,False,Apple,APPLE LAPTOP,Refurbished
6550218,"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD - Silver",4.3,40.0,False,Apple,APPLE LAPTOP,Refurbished
6550219,"Apple - Geek Squad Certified Refurbished MacBook Pro 14"" Laptop - M2 Pro chip - 16GB Memory - 1TB SSD - Silver",3.0,2.0,False,Apple,APPLE LAPTOP,Refurbished
6550220,"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 256GB SSD - Starlight",4.6,217.0,True,Apple,APPLE LAPTOP,Refurbished
6550221,"Apple - Geek Squad Certified Refurbished MacBook Pro 14"" Laptop - M2 Max chip - 32GB Memory - 1TB SSD - Silver",1.0,1.0,False,Apple,APPLE LAPTOP,Refurbished
6550223,"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 256GB SSD - Space Gray",4.6,217.0,True,Apple,APPLE LAPTOP,Refurbished
6550224,"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD - Space Gray",4.3,40.0,False,Apple,APPLE LAPTOP,Refurbished
6550225,"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD - Starlight",4.3,40.0,False,Apple,APPLE LAPTOP,Refurbished
6550226,"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 256GB SSD - Midnight",4.6,217.0,True,Apple,APPLE LAPTOP,Refurbished
