itemNumber,class,name,customerReviewAverage,customerReviewCount,customerTopRated,modelNumber,salePrice,manufacturer,isRefurbished
83-151-746,desktop,MSI AEGIS RS2 AI Gaming Desktop Intel Core Ultra 7 265K NVIDIA GeForce RTX 5070 Ti 32GB Memory 2TB NVMe SSD Windows 11 Home (C2NVR7-1296US),0.0,0,False,Aegis RS2 AI C2NVR7-1296US,1699.99,MSI,True
9SIAR9NKDR2729,desktop,"Allied Gaming Patriot Desktop PC: AMD Ryzen 5 4500, Nvidia GeForce GTX 1050 Ti, 16GB DDR4 3200MHz, 1TB PCIe NVMe SSD, B450M Motherboard, 750 Watt Power Supply, ARGB Fans, WiFi Ready",1.0,1,False,PAT-4500-1050Ti,899.99,Allied Gaming,False
9SIBPMFKCS3693,desktop,Lenovo IdeaCentre 3 Desktop Compact Tower Intel Core i5-14400 Intel UHD Graphics 730 32GB RAM 1TB SSD USB-A 2.0 USB-A 3.2 USB-C 3.2 HDMI Bluetooth Wi-Fi 6 Mouse & Keyboard Windows 11 Pro Grey,0.0,0,False,HC320012121724SUB,789.0,Lenovo,False
9SIBMBSKAP4726,desktop,"Fusion5 Mini PC Windows 11 Pro Computer - 128GB Storage, 8GB RAM, Intel Quad Core - Small & Portable Desktop Mini Computer with Dual Band WiFi, HDMI, USB 3.0, Micro SD Card Slot",0.0,0,False,Mini-PC-NE,139.99,Fusion5,False
9SIAE4NKFK9175,desktop,"Lenovo IdeaCentre,Intel Core i5-14400 Processor,16GB DDR4,256GB SSD,Intel UHD Graphics,Dual Monitor Capable,Windows 11 Pro",0.0,0,False,LENIDC3i516256SDPROZ,639.99,Lenovo,False
9SIA65EKKN4439,desktop,"Dell Pro Micro Computer- Intel Core i5-14500T, 32GB RAM, 512GB NVMe SSD, USB Type-C, Built in AX WiFi, BT, Display Port, HDMI, Windows 11 Pro - AI Copilot, Black Desktop",0.0,0,False,Micro-Pro-i5-14500T.NP.04,1049.99,DELL,False
83-151-701,desktop,MSI PRO DP180 14th Desktop Computer - Intel Core i7 14th Gen i7-14700F (2.10 GHz) - 32 GB - 2 TB SSD - Windows 11 Pro - NVIDIA GeForce RTX 5070 12 GB GDDR7 - IEEE 802.11ax - 500W  14ANVP-1002US,0.0,0,False,PRO DP180 14ANVP-1002US,1899.0,MSI,False
9SIAKF7KGA8432,desktop,"ViprTech Reaper 3.0 Liquid-Cooled PC - AMD Ryzen 7 8700F (5.0Ghz Turbo), RTX 5070 12GB, 32GB DDR5 6400, 2TB NVMe SSD, VR-Ready, Streaming, RGB, Windows 11, Gaming Desktop Computer, White",0.0,0,False,R7-4070S-32G-2T-L-Reaper-W,1514.99,ViprTech,False
9SIABFSKF91477,desktop,"CLX SET Gaming Desktop - Intel Core i9 14900KF 3.2GHz 24-Core Processor, 32GB DDR5 Memory, GeForce RTX 5080 16GB GDDR7 Graphics, 2TB NVMe M.2 SSD, WiFi, Win 11 Home 64-bit",3.5,2,False,TGMSETRTU5100BM,2649.99,CLX,False
9SIA4P0KGK0648,desktop,"CyberPowerPC Gamer Master Gaming Desktop Computer, AMD Ryzen 7 8700F 4.1GHz, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 5060 8GB, Windows 11 Home, Black",0.0,0,False,GMAI4000CPGV2,1022.84,CyberpowerPC,False
